Donor_ID,Project_ID,Score
DNR0001,PRJ1861,0.8284
DNR0001,PRJ0354,0.6626
DNR0001,PRJ1334,0.8867
DNR0001,PRJ0906,0.5654
DNR0001,PRJ1290,0.9849
DNR0001,PRJ1274,0.7269
DNR0001,PRJ0939,0.618
DNR0001,PRJ1732,0.5367
DNR0001,PRJ0066,0.5849
DNR0001,PRJ1324,0.7599
DNR0002,PRJ0556,0.8183
DNR0002,PRJ0396,0.7491
DNR0002,PRJ0528,0.7033
DNR0002,PRJ1523,0.9765
DNR0002,PRJ0668,0.7613
DNR0002,PRJ0071,0.6096
DNR0002,PRJ0752,0.7295
DNR0002,PRJ0212,0.9597
DNR0002,PRJ0197,0.588
DNR0002,PRJ1673,0.607
DNR0003,PRJ1373,0.8902
DNR0003,PRJ1983,0.8369
DNR0003,PRJ0996,0.8837
DNR0003,PRJ0652,0.6538
DNR0003,PRJ0347,0.746
DNR0003,PRJ1389,0.8983
DNR0003,PRJ1249,0.6163
DNR0003,PRJ1056,0.613
DNR0003,PRJ0007,0.7755
DNR0003,PRJ1409,0.7618
DNR0004,PRJ0743,0.5513
DNR0004,PRJ0371,0.506
DNR0004,PRJ0332,0.5698
DNR0004,PRJ1823,0.8579
DNR0004,PRJ1453,0.9864
DNR0004,PRJ1444,0.9915
DNR0004,PRJ0412,0.747
DNR0004,PRJ1162,0.9347
DNR0004,PRJ1836,0.8684
DNR0004,PRJ1996,0.7505
DNR0005,PRJ1049,0.5393
DNR0005,PRJ1537,0.6782
DNR0005,PRJ1903,0.8738
DNR0005,PRJ1572,0.7753
DNR0005,PRJ1953,0.9084
DNR0005,PRJ0190,0.9798
DNR0005,PRJ0620,0.8963
DNR0005,PRJ0040,0.8019
DNR0005,PRJ0730,0.7467
DNR0005,PRJ1996,0.52
DNR0006,PRJ0002,0.8346
DNR0006,PRJ1051,0.5359
DNR0006,PRJ0352,0.8737
DNR0006,PRJ0161,0.5265
DNR0006,PRJ1554,0.7715
DNR0006,PRJ0534,0.63
DNR0006,PRJ1494,0.7938
DNR0006,PRJ0526,0.6307
