project_id,title,region,sector_focus,funding_target,organisation_type,popularity
PRJ0001,Cross-platform holistic array,North Africa,Entrepreneurship,31438,CBO,4
PRJ0002,Synchronized encompassing info-mediaries,East Africa,Agriculture,94175,Social Enterprise,1
PRJ0003,Decentralized 3rdgeneration intranet,North Africa,Entrepreneurship,82396,CBO,3
PRJ0004,Down-sized homogeneous website,North Africa,Health,64631,Social Enterprise,3
PRJ0005,Face-to-face client-driven capability,North Africa,Health,42288,Social Enterprise,1
PRJ0006,Reactive scalable data-warehouse,West Africa,Infrastructure,82243,NGO,2
PRJ0007,Fundamental bottom-line archive,North Africa,Infrastructure,65757,CBO,1
PRJ0008,Synergized coherent implementation,Southern Africa,Entrepreneurship,34215,Faith-Based Org,1
PRJ0009,Multi-channeled discrete orchestration,Southern Africa,Agriculture,90466,NGO,2
PRJ0010,Reduced exuding collaboration,East Africa,Entrepreneurship,38310,Faith-Based Org,2
PRJ0011,Public-key system-worthy capacity,Southern Africa,Health,74565,CBO,1
PRJ0012,Secured intermediate attitude,West Africa,Education,63884,CBO,0
PRJ0013,Pre-emptive real-time benchmark,North Africa,Health,61362,NGO,4
PRJ0014,Ergonomic grid-enabled hierarchy,West Africa,Agriculture,75157,Faith-Based Org,2
PRJ0015,Programmable demand-driven hub,West Africa,Entrepreneurship,88888,Social Enterprise,1
PRJ0016,Self-enabling modular model,West Africa,Infrastructure,81044,CBO,3
PRJ0017,Persevering bifurcated functionalities,Southern Africa,Health,35780,Faith-Based Org,2
PRJ0018,Stand-alone intangible attitude,Southern Africa,Education,76442,CBO,6
PRJ0019,Centralized object-oriented moderator,West Africa,Infrastructure,15443,Social Enterprise,1
PRJ0020,Extended multimedia implementation,East Africa,Infrastructure,7711,NGO,1
PRJ0021,Synchronized solution-oriented focus group,East Africa,Agriculture,27154,Social Enterprise,2
PRJ0022,Triple-buffered discrete standardization,Southern Africa,Infrastructure,26215,Faith-Based Org,2
PRJ0023,Vision-oriented contextually-based alliance,East Africa,Education,52373,NGO,1
PRJ0024,Universal human-resource open architecture,Southern Africa,Agriculture,76082,NGO,3
PRJ0025,Realigned 6thgeneration Graphical User Interface,West Africa,Education,20917,NGO,4
PRJ0026,Front-line hybrid solution,East Africa,Health,40396,CBO,1
PRJ0027,Triple-buffered scalable circuit,West Africa,Infrastructure,49240,NGO,3
PRJ0028,Multi-layered actuating hierarchy,North Africa,Entrepreneurship,21003,Faith-Based Org,1
PRJ0029,Mandatory user-facing solution,Southern Africa,Health,51695,NGO,4
PRJ0030,User-friendly interactive conglomeration,Southern Africa,Education,55840,CBO,4
PRJ0031,Innovative eco-centric model,Southern Africa,Health,86309,NGO,2
PRJ0032,Fundamental bi-directional ability,West Africa,Education,24111,Social Enterprise,0
PRJ0033,Synchronized scalable model,East Africa,Entrepreneurship,95378,CBO,0
PRJ0034,Synergistic discrete artificial intelligence,North Africa,Agriculture,8904,Social Enterprise,2
PRJ0035,Synergistic value-added encoding,North Africa,Infrastructure,18575,Faith-Based Org,2
PRJ0036,Polarized system-worthy leverage,East Africa,Education,29922,Faith-Based Org,2
PRJ0037,Profound optimal matrix,West Africa,Education,91117,Faith-Based Org,1
PRJ0038,Right-sized fresh-thinking collaboration,North Africa,Infrastructure,47233,Social Enterprise,5
PRJ0039,Open-architected multimedia collaboration,East Africa,Health,9768,Faith-Based Org,4
PRJ0040,Programmable stable monitoring,East Africa,Health,79834,Social Enterprise,0
PRJ0041,Down-sized human-resource synergy,West Africa,Agriculture,90028,Social Enterprise,1
PRJ0042,Intuitive even-keeled installation,North Africa,Health,46309,Faith-Based Org,2
PRJ0043,Intuitive system-worthy process improvement,West Africa,Education,17579,NGO,2
PRJ0044,Integrated fresh-thinking access,East Africa,Infrastructure,69794,Social Enterprise,0
PRJ0045,Implemented even-keeled extranet,West Africa,Entrepreneurship,9257,Social Enterprise,2
PRJ0046,Seamless incremental frame,East Africa,Agriculture,75396,Faith-Based Org,2
PRJ0047,Advanced logistical contingency,Southern Africa,Health,18968,NGO,3
PRJ0048,Cloned multi-tasking frame,Southern Africa,Education,96213,Social Enterprise,1
PRJ0049,Re-contextualized systemic system engine,North Africa,Education,41787,Social Enterprise,0
PRJ0050,Decentralized transitional collaboration,North Africa,Health,74594,Social Enterprise,2
PRJ0051,Enterprise-wide demand-driven array,West Africa,Infrastructure,45420,Social Enterprise,2
PRJ0052,Visionary exuding focus group,North Africa,Health,8427,Social Enterprise,1
PRJ0053,Front-line optimizing middleware,Southern Africa,Education,98297,NGO,3
PRJ0054,Advanced disintermediate data-warehouse,East Africa,Entrepreneurship,84024,NGO,2
PRJ0055,Distributed hybrid system engine,Southern Africa,Health,17472,Social Enterprise,3
PRJ0056,Pre-emptive transitional algorithm,Southern Africa,Agriculture,21217,CBO,2
PRJ0057,Switchable regional synergy,East Africa,Entrepreneurship,15333,CBO,0
PRJ0058,Vision-oriented motivating collaboration,West Africa,Agriculture,45827,NGO,2
