donor_id,project_id,rating
DR0001,PR0397,3
DR0001,PR0431,3
DR0001,PR0942,5
DR0001,PR0083,3
DR0001,PR0389,2
DR0001,PR0611,2
DR0001,PR1499,5
DR0001,PR0377,5
DR0001,PR1660,4
DR0001,PR0602,4
DR0001,PR1745,3
DR0001,PR0636,2
DR0001,PR0564,4
DR0001,PR1734,3
DR0001,PR0919,4
DR0001,PR0587,3
DR0001,PR1127,5
DR0001,PR1248,4
DR0001,PR0001,4
DR0001,PR1597,5
DR0001,PR0555,1
DR0001,PR1011,4
DR0002,PR1969,3
DR0003,PR1770,3
DR0003,PR1103,1
DR0004,PR0721,2
DR0004,PR0786,2
DR0005,PR1240,4
DR0005,PR1667,3
DR0005,PR0151,4
DR0005,PR1144,2
DR0005,PR1628,3
DR0005,PR0726,5
DR0005,PR1043,1
DR0005,PR0003,3
DR0005,PR0706,3
DR0005,PR0710,1
DR0005,PR1116,1
DR0005,PR1520,2
DR0005,PR0162,4
DR0005,PR1493,1
DR0005,PR1509,2
DR0005,PR1655,5
DR0005,PR0196,2
DR0005,PR0658,2
DR0005,PR1834,1
DR0005,PR1711,4
DR0005,PR0926,3
DR0005,PR0534,4
DR0005,PR0556,3
DR0006,PR0365,4
DR0006,PR0167,1
DR0007,PR0429,5
DR0007,PR1206,3
DR0007,PR0784,4
DR0007,PR0807,1
DR0007,PR1575,3
DR0007,PR0329,3
DR0007,PR1572,2
DR0007,PR1925,2
DR0007,PR1513,3
DR0007,PR1498,3
DR0007,PR0082,5
DR0007,PR0489,3
DR0007,PR1053,4
DR0007,PR0762,4
DR0007,PR1875,2
DR0007,PR1681,2
DR0007,PR1115,2
DR0007,PR1136,4
DR0007,PR0818,2
DR0007,PR1402,1
DR0008,PR0389,5
DR0008,PR1239,3
DR0008,PR0960,5
DR0008,PR0615,1
DR0008,PR0540,2
DR0008,PR1741,5
DR0008,PR0043,4
DR0008,PR1031,3
DR0008,PR1860,3
DR0008,PR1039,3
DR0008,PR1844,4
DR0008,PR0110,4
DR0008,PR1561,4
DR0008,PR1575,2
DR0008,PR1722,2
DR0008,PR0885,1
DR0008,PR0999,4
DR0008,PR0088,5
DR0008,PR1036,4
DR0008,PR1475,3
DR0009,PR0198,3
DR0009,PR0687,3
DR0010,PR1149,3
DR0010,PR0097,2
DR0010,PR0703,2
DR0010,PR0334,3
DR0010,PR1640,3
DR0011,PR0605,4
DR0011,PR0932,4
DR0012,PR0326,2
DR0012,PR0301,3
DR0012,PR0038,3
DR0013,PR0015,5
DR0013,PR0975,1
DR0013,PR0978,4
DR0013,PR1950,2
DR0013,PR0559,4
DR0013,PR0745,4
DR0013,PR1457,3
DR0013,PR0571,4
DR0013,PR0607,3
DR0013,PR0984,3
DR0013,PR1488,4
DR0013,PR1430,4
DR0013,PR1964,5
DR0013,PR1618,2
DR0013,PR0117,3
DR0013,PR1769,2
DR0013,PR1090,4
DR0013,PR1391,3
DR0013,PR1827,5
DR0013,PR1583,3
DR0013,PR0282,5
DR0013,PR1882,2
DR0013,PR1312,3
DR0015,PR1516,3
DR0015,PR1095,3
DR0015,PR0617,3
DR0015,PR0034,2
DR0015,PR0266,3
DR0015,PR0766,3
DR0016,PR0678,5
DR0017,PR0107,1
DR0017,PR0806,3
DR0017,PR0485,2
DR0017,PR0086,4
DR0017,PR0812,3
DR0017,PR0811,3
DR0017,PR0489,5
DR0017,PR0889,1
DR0017,PR1699,4
DR0017,PR0018,3
DR0017,PR0760,2
DR0017,PR0091,2
DR0017,PR0265,3
DR0017,PR1497,3
DR0017,PR1088,4
DR0017,PR1817,4
DR0017,PR1313,3
DR0017,PR0180,3
DR0017,PR1326,3
DR0017,PR1297,3
DR0017,PR0879,2
DR0017,PR0545,2
DR0017,PR1716,3
DR0018,PR0383,1
DR0018,PR1985,3
DR0018,PR0804,3
DR0020,PR0089,4
DR0020,PR0273,3
DR0021,PR1879,2
DR0021,PR1669,4
DR0021,PR1941,5
DR0021,PR1010,2
DR0021,PR1914,2
DR0021,PR0605,2
DR0021,PR1355,3
DR0021,PR0659,2
DR0021,PR0528,1
DR0021,PR1662,3
DR0021,PR0560,4
DR0021,PR1291,3
DR0021,PR1210,3
DR0021,PR1950,3
DR0021,PR0281,2
DR0021,PR0090,4
DR0022,PR1732,3
DR0022,PR0580,2
DR0022,PR1561,3
DR0022,PR0677,1
DR0022,PR0816,1
DR0022,PR0832,3
DR0022,PR0322,3
DR0022,PR1776,4
DR0022,PR0344,5
DR0022,PR1223,3
DR0022,PR1627,2
DR0022,PR1405,3
DR0022,PR0760,5
DR0022,PR0306,3
DR0022,PR0253,3
DR0022,PR1011,1
DR0022,PR1263,5
DR0022,PR1014,4
DR0022,PR0108,1
DR0022,PR0645,2
DR0022,PR1433,4
DR0022,PR0835,5
DR0022,PR0779,3
DR0022,PR0025,4
DR0022,PR0481,2
DR0022,PR1986,1
DR0022,PR1663,3
DR0022,PR0837,3
DR0022,PR0211,3
DR0022,PR1661,2
DR0023,PR0619,1
DR0023,PR0154,4
DR0023,PR0429,4
DR0023,PR0503,5
DR0023,PR1210,3
DR0023,PR0669,1
DR0023,PR0630,4
DR0023,PR0906,2
DR0023,PR1162,5
DR0023,PR0544,1
DR0023,PR0116,3
DR0023,PR1454,3
DR0023,PR0769,3
DR0023,PR1984,3
DR0023,PR0542,5
DR0023,PR1499,5
DR0023,PR1527,4
DR0023,PR0749,3
DR0023,PR0438,2
DR0024,PR0677,4
DR0024,PR0796,3
DR0025,PR0399,4
DR0026,PR1462,2
DR0026,PR1244,4
DR0026,PR1014,3
DR0026,PR0541,3
DR0026,PR1285,4
DR0026,PR1374,3
DR0026,PR1146,2
DR0026,PR0943,1
DR0026,PR0811,3
DR0026,PR1121,3
DR0026,PR1956,2
DR0026,PR0015,3
DR0026,PR0767,3
DR0026,PR1407,2
DR0026,PR0960,2
DR0026,PR0101,4
DR0026,PR1582,4
DR0026,PR0381,3
DR0026,PR1988,3
DR0027,PR1611,5
DR0027,PR1398,3
DR0027,PR0273,2
DR0027,PR0431,2
DR0027,PR1159,3
DR0028,PR0274,2
DR0028,PR0660,2
DR0028,PR0492,3
DR0028,PR1563,2
DR0028,PR0336,5
DR0028,PR1671,2
DR0028,PR0809,4
DR0028,PR1915,4
DR0028,PR1647,3
DR0028,PR1835,1
DR0028,PR1975,2
DR0028,PR0943,2
DR0028,PR0771,3
DR0028,PR1265,2
DR0028,PR1761,5
DR0028,PR1216,1
DR0028,PR1337,3
DR0029,PR0467,4
DR0030,PR0359,3
DR0030,PR1058,5
DR0030,PR0572,1
DR0030,PR0601,5
DR0030,PR0284,2
DR0030,PR0436,3
DR0030,PR1970,3
DR0030,PR0609,1
DR0030,PR1014,3
DR0030,PR1352,2
DR0030,PR0145,1
DR0030,PR1239,4
DR0030,PR1211,3
DR0030,PR1076,2
DR0030,PR0306,2
DR0030,PR1822,4
DR0030,PR1246,2
DR0030,PR0019,4
DR0030,PR1638,5
DR0030,PR1378,4
DR0030,PR0990,2
DR0030,PR0679,2
DR0030,PR1680,3
DR0030,PR0658,3
DR0030,PR1766,2
DR0030,PR0173,1
DR0030,PR0673,4
DR0030,PR1726,3
DR0030,PR0551,5
DR0030,PR1414,5
DR0031,PR0823,3
DR0031,PR1902,2
DR0031,PR0612,3
DR0031,PR1496,4
DR0031,PR0980,2
DR0031,PR0058,2
DR0031,PR1896,4
DR0031,PR1644,1
DR0031,PR0908,3
DR0031,PR0008,4
DR0031,PR0425,4
DR0031,PR1144,2
DR0031,PR0741,3
DR0031,PR0108,1
DR0031,PR0488,3
DR0031,PR0776,3
DR0031,PR1634,4
DR0031,PR0071,3
DR0032,PR0343,3
DR0032,PR0877,3
DR0032,PR0929,5
DR0033,PR1725,4
DR0033,PR1897,3
DR0033,PR0881,5
DR0033,PR1701,2
DR0033,PR0328,3
DR0033,PR0029,1
DR0033,PR1726,3
DR0033,PR0082,2
DR0033,PR0502,3
DR0033,PR1448,3
DR0033,PR0830,2
DR0033,PR0391,3
DR0033,PR1649,2
DR0033,PR1042,3
DR0033,PR1357,4
DR0033,PR0731,4
DR0033,PR1300,4
DR0033,PR1735,4
DR0033,PR1626,4
DR0034,PR1725,5
DR0035,PR1618,4
DR0035,PR0159,3
DR0035,PR0528,2
DR0035,PR1227,3
DR0035,PR1872,4
DR0035,PR1447,2
DR0035,PR1037,2
DR0035,PR0876,4
DR0035,PR0071,5
DR0035,PR1207,2
DR0035,PR1516,3
DR0035,PR1271,2
DR0035,PR1821,2
DR0035,PR0646,3
DR0035,PR1667,4
DR0035,PR0643,4
DR0035,PR0030,4
DR0035,PR1776,1
DR0035,PR0578,4
DR0035,PR1224,1
DR0036,PR1262,4
DR0036,PR0591,2
DR0036,PR1152,2
DR0036,PR1911,3
DR0036,PR0696,3
DR0036,PR0467,5
DR0036,PR0516,5
DR0036,PR0034,2
DR0036,PR0009,4
DR0036,PR1434,5
DR0036,PR0150,2
DR0036,PR0374,3
DR0036,PR1403,3
DR0036,PR0923,3
DR0036,PR0895,3
DR0036,PR1519,4
DR0036,PR1432,4
DR0036,PR1883,3
DR0037,PR1862,3
DR0037,PR1977,3
DR0037,PR0264,1
DR0037,PR0420,3
DR0037,PR0923,5
DR0037,PR1077,2
DR0038,PR0795,3
DR0038,PR1070,4
DR0038,PR0102,2
DR0038,PR0788,1
DR0038,PR1429,4
DR0038,PR0158,3
DR0038,PR1498,4
DR0038,PR0410,3
DR0038,PR1430,3
DR0038,PR1482,4
DR0038,PR0524,2
DR0038,PR1179,4
DR0038,PR1316,2
DR0038,PR0758,1
DR0038,PR0821,3
DR0038,PR0627,5
DR0038,PR0958,2
DR0038,PR1532,3
DR0038,PR1178,2
DR0038,PR1228,4
DR0039,PR0122,4
DR0039,PR1176,3
DR0040,PR0787,3
DR0040,PR0821,5
DR0040,PR0272,5
DR0040,PR0016,2
DR0040,PR0203,4
DR0040,PR0858,3
DR0040,PR0661,3
DR0040,PR0730,1
DR0040,PR1845,5
DR0040,PR0653,2
DR0040,PR1501,3
DR0040,PR0921,1
DR0040,PR1402,1
DR0040,PR1038,3
DR0040,PR0833,3
DR0040,PR1948,4
DR0040,PR0569,3
DR0040,PR0677,3
DR0041,PR0272,2
DR0041,PR0597,1
DR0041,PR1400,3
DR0041,PR0118,3
DR0041,PR0732,5
DR0041,PR0147,1
DR0041,PR0850,4
DR0041,PR0784,4
DR0041,PR0723,2
DR0041,PR0523,3
DR0041,PR0666,3
DR0041,PR0219,3
DR0041,PR0316,3
DR0041,PR0359,2
DR0041,PR1827,2
DR0041,PR0526,3
DR0041,PR1765,1
DR0042,PR0131,3
DR0042,PR0927,1
DR0042,PR0041,3
DR0042,PR1963,4
DR0042,PR0503,2
DR0043,PR1877,3
DR0043,PR0435,1
DR0043,PR1050,1
DR0044,PR1421,2
DR0044,PR0682,5
DR0044,PR1498,4
DR0044,PR0100,2
DR0044,PR1108,1
DR0044,PR1253,2
DR0044,PR1508,3
DR0044,PR1096,3
DR0045,PR0888,1
DR0045,PR1307,3
DR0046,PR1222,4
DR0046,PR0993,3
DR0046,PR1778,3
DR0046,PR1730,4
DR0046,PR1883,3
DR0047,PR0314,3
DR0048,PR0225,3
DR0048,PR0430,3
DR0048,PR0743,3
DR0048,PR0798,2
DR0048,PR1249,2
DR0048,PR0554,1
DR0048,PR1079,3
DR0048,PR0027,4
DR0048,PR0612,4
DR0048,PR0651,1
DR0048,PR1873,3
DR0048,PR0087,3
DR0048,PR0951,2
DR0048,PR0420,3
DR0048,PR0725,2
DR0048,PR1544,3
DR0048,PR1578,4
DR0048,PR0774,1
DR0048,PR1540,2
DR0048,PR1416,1
DR0048,PR1008,5
DR0048,PR0613,3
DR0048,PR1044,4
DR0048,PR1995,2
DR0048,PR0030,2
DR0049,PR1724,3
DR0049,PR1784,3
DR0049,PR0036,3
DR0049,PR0960,3
DR0049,PR0392,5
DR0049,PR1730,2
DR0049,PR0640,2
DR0049,PR0315,3
DR0049,PR0084,3
DR0049,PR0466,2
DR0049,PR0198,5
DR0049,PR1155,3
DR0049,PR1524,2
DR0049,PR0902,1
DR0049,PR1362,3
DR0049,PR0942,4
DR0050,PR1719,3
DR0050,PR1242,4
DR0050,PR0656,4
DR0050,PR1612,4
DR0051,PR0567,4
DR0051,PR0218,3
DR0051,PR1169,3
DR0051,PR0861,2
DR0051,PR0326,3
DR0051,PR0502,4
DR0051,PR1325,2
DR0051,PR1570,3
DR0051,PR0451,1
DR0051,PR0345,5
DR0051,PR1989,2
DR0051,PR1826,1
DR0051,PR0880,3
DR0051,PR0064,4
DR0051,PR1510,2
DR0051,PR1317,5
DR0051,PR0739,5
DR0052,PR0178,5
DR0052,PR0761,4
DR0052,PR0189,3
DR0052,PR1663,3
DR0052,PR1085,2
DR0052,PR1891,2
DR0053,PR0782,4
DR0054,PR1683,4
DR0054,PR0697,5
DR0054,PR1154,5
DR0054,PR0640,2
DR0054,PR0849,3
DR0054,PR1276,2
DR0054,PR1124,3
DR0054,PR1216,2
DR0055,PR1280,5
DR0055,PR1030,1
DR0056,PR0311,2
DR0056,PR1811,3
DR0057,PR1695,1
DR0057,PR1174,4
DR0057,PR0116,4
DR0058,PR0878,4
DR0058,PR0648,4
DR0059,PR1464,3
DR0059,PR1111,4
DR0059,PR1286,3
DR0059,PR1307,4
DR0060,PR0915,2
DR0060,PR1190,3
DR0060,PR0662,3
DR0060,PR1441,1
DR0060,PR0532,3
DR0060,PR0145,1
DR0060,PR1285,3
DR0060,PR1621,3
DR0060,PR0912,5
DR0060,PR0862,4
DR0060,PR1017,3
DR0060,PR0643,2
DR0060,PR0415,4
DR0060,PR1216,2
DR0060,PR1075,2
DR0060,PR0159,3
DR0060,PR1677,3
DR0060,PR1800,3
DR0060,PR1772,4
DR0060,PR1116,5
DR0060,PR1108,4
DR0060,PR1279,3
DR0060,PR1404,2
DR0060,PR0082,3
DR0060,PR1727,4
DR0060,PR0927,2
DR0060,PR1534,5
DR0061,PR1611,4
DR0062,PR0058,4
DR0062,PR1295,3
DR0062,PR1741,2
DR0062,PR0684,4
DR0062,PR1512,3
DR0062,PR0181,3
DR0062,PR1121,5
DR0062,PR1800,3
DR0062,PR1654,4
DR0062,PR1120,5
DR0062,PR0205,1
DR0062,PR0317,2
DR0062,PR1902,3
DR0062,PR1162,2
DR0062,PR1326,3
DR0062,PR1617,2
DR0062,PR1106,3
DR0062,PR1072,3
DR0062,PR1319,3
DR0062,PR0793,2
DR0062,PR1736,2
DR0062,PR1343,4
DR0062,PR1606,3
DR0064,PR1740,3
DR0064,PR0895,4
DR0064,PR1355,4
DR0064,PR0623,4
DR0064,PR1245,5
DR0064,PR1848,2
DR0064,PR0931,3
DR0064,PR1887,3
DR0064,PR0095,4
DR0064,PR0497,3
DR0064,PR1462,4
DR0064,PR0648,4
DR0064,PR0091,4
DR0064,PR0862,3
DR0064,PR1006,4
DR0064,PR0672,1
DR0064,PR0943,2
DR0064,PR1047,3
DR0065,PR1396,2
DR0065,PR1729,2
DR0065,PR1573,5
DR0065,PR0652,3
DR0065,PR0902,1
DR0065,PR1385,1
DR0065,PR1854,1
DR0065,PR0068,4
DR0065,PR0733,5
DR0065,PR0261,3
DR0065,PR1319,4
DR0065,PR0192,4
